split,db_id,n_joins,n_tables_ref,tables,join_types,topology,hardness,tier,n_fk_join_conds,n_join_conds,has_subquery,has_group_by,has_aggregation,has_where,agg_funcs,sql_tokens,query
dev,concert_singer,0,1,singer,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM singer
dev,concert_singer,0,1,singer,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM singer
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,0,,12,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,0,,12,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
dev,concert_singer,0,1,singer,,single,medium,simple,0,0,0,0,1,1,AVG|MIN|MAX,12,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
dev,concert_singer,0,1,singer,,single,medium,simple,0,0,0,0,1,1,AVG|MIN|MAX,12,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,0,,11,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,0,,11,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,1,,9,SELECT DISTINCT country FROM singer WHERE age  >  20
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,1,,9,SELECT DISTINCT country FROM singer WHERE age  >  20
dev,concert_singer,0,1,singer,,single,medium,moderate,0,0,0,1,1,0,COUNT,9,"SELECT country ,  count(*) FROM singer GROUP BY country"
dev,concert_singer,0,1,singer,,single,medium,moderate,0,0,0,1,1,0,COUNT,9,"SELECT country ,  count(*) FROM singer GROUP BY country"
dev,concert_singer,0,1,singer,,single,hard,moderate,0,0,1,0,1,1,AVG,11,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
dev,concert_singer,0,1,singer,,single,hard,moderate,0,0,1,0,1,1,AVG,11,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
dev,concert_singer,0,1,stadium,,single,easy,simple,0,0,0,0,0,1,,12,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
dev,concert_singer,0,1,stadium,,single,easy,simple,0,0,0,0,0,1,,12,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
dev,concert_singer,0,1,stadium,,single,medium,simple,0,0,0,0,1,0,MAX,5,"select max(capacity), average from stadium"
dev,concert_singer,0,1,stadium,,single,medium,simple,0,0,0,0,1,0,AVG|MAX,6,"select avg(capacity) ,  max(capacity) from stadium"
dev,concert_singer,0,1,stadium,,single,easy,simple,0,0,0,0,0,0,,12,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
dev,concert_singer,0,1,stadium,,single,easy,simple,0,0,0,0,0,0,,12,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
dev,concert_singer,0,1,concert,,single,medium,simple,0,0,0,0,1,1,COUNT,12,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
dev,concert_singer,0,1,concert,,single,medium,simple,0,0,0,0,1,1,COUNT,12,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
dev,concert_singer,1,2,concert|stadium,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
dev,concert_singer,1,2,concert|stadium,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
dev,concert_singer,1,2,concert|stadium,INNER,binary,hard,complex,1,1,0,1,1,1,COUNT,29,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1"
dev,concert_singer,1,2,concert|stadium,INNER,binary,hard,complex,1,1,0,1,1,1,COUNT,29,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1"
dev,concert_singer,0,1,concert,,single,medium,moderate,0,0,0,1,1,0,COUNT,13,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
dev,concert_singer,0,1,concert,,single,medium,moderate,0,0,0,1,1,0,COUNT,13,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
dev,concert_singer,0,2,stadium|concert,,binary,hard,moderate,0,0,1,0,0,1,,12,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
dev,concert_singer,0,2,stadium|concert,,binary,hard,moderate,0,0,1,0,0,1,,12,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
dev,concert_singer,0,1,singer,,single,extra hard,complex,0,0,1,0,0,1,,17,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30
dev,concert_singer,1,2,stadium|concert,INNER,binary,extra hard,complex,1,1,1,0,0,1,,23,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
dev,concert_singer,1,2,stadium|concert,INNER,binary,extra hard,complex,1,1,1,0,0,1,,23,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
dev,concert_singer,1,2,singer_in_concert|concert,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id"
dev,concert_singer,1,2,singer_in_concert|concert,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id"
dev,concert_singer,1,2,singer_in_concert|singer,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
dev,concert_singer,1,2,singer_in_concert|singer,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
dev,concert_singer,2,3,singer_in_concert|singer|concert,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,26,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
dev,concert_singer,2,3,singer_in_concert|singer|concert,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,26,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,1,,10,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
dev,concert_singer,0,1,singer,,single,easy,simple,0,0,0,0,0,1,,10,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
dev,concert_singer,2,2,concert|stadium,INNER|INNER,binary,extra hard,extra,2,2,1,0,0,1,,41,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
dev,concert_singer,2,2,concert|stadium,INNER|INNER,binary,extra hard,extra,2,2,1,0,0,1,,41,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
dev,concert_singer,0,2,concert|stadium,,binary,hard,moderate,0,0,1,0,1,1,COUNT,17,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
dev,concert_singer,0,2,concert|stadium,,binary,hard,moderate,0,0,1,0,1,1,COUNT,17,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
dev,pets_1,0,1,pets,,single,medium,simple,0,0,0,0,1,1,COUNT,8,SELECT count(*) FROM pets WHERE weight  >  10
dev,pets_1,0,1,pets,,single,medium,simple,0,0,0,0,1,1,COUNT,8,SELECT count(*) FROM pets WHERE weight  >  10
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,0,,9,SELECT weight FROM pets ORDER BY pet_age LIMIT 1
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,0,,9,SELECT weight FROM pets ORDER BY pet_age LIMIT 1
